,NDOI,smscg,tide,X2_DIS
10/31/1922,8571.490424,1,4.42650032,78.13030994
11/1/1922,8807.231734,1,4.639500141,78.03297096
11/2/1922,8872.367628,1,5.177800179,78.15868176
11/3/1922,8899.479597,1,5.494999886,78.48850888
11/4/1922,8913.616405,1,5.845799923,79.1619986
11/5/1922,8922.26162,1,6.018099785,80.01588567
11/6/1922,8928.304632,1,6.094200134,80.8750928
11/7/1922,8933.074745,1,6.038199902,81.9653049
11/8/1922,8937.276421,1,5.817900181,81.97600867
11/9/1922,8941.336519,1,5.448599815,82.39388438
11/10/1922,8945.553028,1,5.044499874,80.57337424
11/11/1922,8950.167604,1,4.660999775,78.91287055
11/12/1922,8955.406565,1,4.665199757,78.45136286
11/13/1922,8961.508972,1,4.801599979,78.70718832
11/14/1922,8968.750924,1,5.090499878,78.84673351
11/15/1922,8977.471833,1,5.570400238,79.28900729
11/16/1922,8988.107784,1,6.625600338,80.02886718
11/17/1922,9001.238352,1,7.368899822,80.78109706
11/18/1922,9017.656483,1,7.87319994,81.76593417
11/19/1922,9038.47761,1,7.983699799,81.65075136
11/20/1922,9065.316945,1,7.754000187,82.23530009
11/21/1922,9100.589573,1,7.244699955,82.37967385
11/22/1922,9148.042036,1,6.518300056,82.24467282
11/23/1922,9213.745238,1,5.611299992,81.1568779
11/24/1922,9308.070762,1,4.741399765,80.40639899
11/25/1922,9449.945065,1,4.392199993,79.96002029
11/26/1922,9676.963243,1,4.12830019,79.3165488
11/27/1922,10072.79466,1,3.952899933,78.86177344
11/28/1922,10856.25355,1,4.01390028,78.47536984
11/29/1922,12762.25795,1,4.4927001,79.73971617
11/30/1922,19684.41591,1,5.092300415,79.93129201
12/1/1922,26731.44963,1,5.676699638,78.36443218
12/2/1922,28729.05425,1,6.125400066,75.90915107
12/3/1922,29561.24655,1,6.564400196,74.06633914
12/4/1922,29984.97341,1,6.775599957,70.69733874
12/5/1922,30229.19774,1,6.935800076,70.35509825
12/6/1922,30382.31651,1,6.82640028,69.16321338
12/7/1922,30484.30693,1,6.503600121,67.20710078
12/8/1922,30555.38593,1,6.048700333,64.57888997
12/9/1922,30606.66629,1,5.386199951,64.82483873
12/10/1922,30644.66368,1,5.003799915,63.41888607
12/11/1922,30673.39913,1,4.872600079,61.94233916
12/12/1922,30695.45817,1,4.7718997,61.75100316
