,NDOI,smscg,tide
10/31/1922,8571.490424,1,4.42650032
11/1/1922,8807.231734,1,4.639500141
11/2/1922,8872.367628,1,5.177800179
11/3/1922,8899.479597,1,5.494999886
11/4/1922,8913.616405,1,5.845799923
11/5/1922,8922.26162,1,6.018099785
11/6/1922,8928.304632,1,6.094200134
11/7/1922,8933.074745,1,6.038199902
11/8/1922,8937.276421,1,5.817900181
11/9/1922,8941.336519,1,5.448599815
11/10/1922,8945.553028,1,5.044499874
11/11/1922,8950.167604,1,4.660999775
11/12/1922,8955.406565,1,4.665199757
11/13/1922,8961.508972,1,4.801599979
11/14/1922,8968.750924,1,5.090499878
11/15/1922,8977.471833,1,5.570400238
11/16/1922,8988.107784,1,6.625600338
11/17/1922,9001.238352,1,7.368899822
11/18/1922,9017.656483,1,7.87319994
11/19/1922,9038.47761,1,7.983699799
11/20/1922,9065.316945,1,7.754000187
11/21/1922,9100.589573,1,7.244699955
11/22/1922,9148.042036,1,6.518300056
11/23/1922,9213.745238,1,5.611299992
11/24/1922,9308.070762,1,4.741399765
11/25/1922,9449.945065,1,4.392199993
11/26/1922,9676.963243,1,4.12830019
11/27/1922,10072.79466,1,3.952899933
11/28/1922,10856.25355,1,4.01390028
11/29/1922,12762.25795,1,4.4927001
11/30/1922,19684.41591,1,5.092300415
12/1/1922,26731.44963,1,5.676699638
12/2/1922,28729.05425,1,6.125400066
12/3/1922,29561.24655,1,6.564400196
12/4/1922,29984.97341,1,6.775599957
12/5/1922,30229.19774,1,6.935800076
12/6/1922,30382.31651,1,6.82640028
12/7/1922,30484.30693,1,6.503600121
12/8/1922,30555.38593,1,6.048700333
12/9/1922,30606.66629,1,5.386199951
12/10/1922,30644.66368,1,5.003799915
12/11/1922,30673.39913,1,4.872600079
12/12/1922,30695.45817,1,4.7718997
12/13/1922,30712.55871,1,5.263000011
12/14/1922,30725.871,1,6.231100082
12/15/1922,30736.20541,1,7.055900097
12/16/1922,30744.1256,1,7.71449995
12/17/1922,30750.01759,1,7.990299702
12/18/1922,30754.13068,1,7.939100266
12/19/1922,30756.59866,1,7.713500023
12/20/1922,30757.44447,1,7.166500092
12/21/1922,30756.56731,1,6.326900005
12/22/1922,30753.70584,1,5.446600437
12/23/1922,30748.36164,1,4.711100101
12/24/1922,30739.64783,1,4.244100094
12/25/1922,30725.98158,1,3.831800222
12/26/1922,30704.4192,1,3.517199993
12/27/1922,30669.07904,1,3.804600239
12/28/1922,30606.89546,1,4.506499767
12/29/1922,30483.96238,1,5.145999908
12/30/1922,30188.11158,1,5.781900406
12/31/1922,29143.67921,1,6.434700012
1/1/1923,28099.12819,1,6.843799591
1/2/1923,27802.90041,1,7.281499863
1/3/1923,27679.29648,1,7.422100067
1/4/1923,27616.10631,1,7.27820015
1/5/1923,27579.37417,1,6.907500267
1/6/1923,27555.97529,1,6.224500179
1/7/1923,27539.95708,1,5.434899807
1/8/1923,27528.29019,1,5.094099998
1/9/1923,27519.28754,1,4.697799683
1/10/1923,27511.93438,1,4.860699654
1/11/1923,27505.57411,1,5.658400059
1/12/1923,27499.74777,1,6.408800125
1/13/1923,27494.10516,1,7.018599987
1/14/1923,27488.35083,1,7.391200066
1/15/1923,27482.20691,1,7.476399899
1/16/1923,27475.38308,1,7.470299721
1/17/1923,27467.54675,1,7.191900253
1/18/1923,27458.28782,1,6.635100365
1/19/1923,27447.07068,1,5.955600262
1/20/1923,27433.16279,1,5.102900028
1/21/1923,27415.52108,1,4.48239994
1/22/1923,27392.60202,1,3.985199928
1/23/1923,27362.02725,1,3.481600285
