,NDOI,smscg,tide
10/31/1922,8338,1,4.42650032
11/1/1922,8737,1,4.639500141
11/2/1922,8847,1,5.177800179
11/3/1922,8892,1,5.494999886
11/4/1922,8916,1,5.845799923
11/5/1922,8930,1,6.018099785
11/6/1922,8939,1,6.094200134
11/7/1922,8946,1,6.038199902
11/8/1922,8952,1,5.817900181
11/9/1922,8957,1,5.448599815
11/10/1922,8962,1,5.044499874
11/11/1922,8967,1,4.660999775
11/12/1922,8973,1,4.665199757
11/13/1922,8979,1,4.801599979
11/14/1922,8987,1,5.090499878
11/15/1922,8996,1,5.570400238
11/16/1922,9007,1,6.625600338
11/17/1922,9020,1,7.368899822
11/18/1922,9036,1,7.87319994
11/19/1922,9057,1,7.983699799
11/20/1922,9084,1,7.754000187
11/21/1922,9120,1,7.244699955
11/22/1922,9167,1,6.518300056
11/23/1922,9233,1,5.611299992
11/24/1922,9327,1,4.741399765
11/25/1922,9469,1,4.392199993
11/26/1922,9696,1,4.12830019
11/27/1922,10091,1,3.952899933
11/28/1922,10874,1,4.01390028
11/29/1922,12778,1,4.4927001
11/30/1922,19694,1,5.092300415
12/1/1922,26735,1,5.676699638
12/2/1922,28731,1,6.125400066
12/3/1922,29563,1,6.564400196
12/4/1922,29986,1,6.775599957
12/5/1922,30230,1,6.935800076
12/6/1922,30383,1,6.82640028
12/7/1922,30485,1,6.503600121
12/8/1922,30556,1,6.048700333
12/9/1922,30607,1,5.386199951
12/10/1922,30645,1,5.003799915
12/11/1922,30674,1,4.872600079
12/12/1922,30696,1,4.7718997
12/13/1922,30713,1,5.263000011
12/14/1922,30726,1,6.231100082
12/15/1922,30736,1,7.055900097
12/16/1922,30744,1,7.71449995
12/17/1922,30750,1,7.990299702
12/18/1922,30754,1,7.939100266
12/19/1922,30757,1,7.713500023
12/20/1922,30758,1,7.166500092
12/21/1922,30757,1,6.326900005
12/22/1922,30754,1,5.446600437
12/23/1922,30749,1,4.711100101
12/24/1922,30740,1,4.244100094
12/25/1922,30726,1,3.831800222
12/26/1922,30705,1,3.517199993
12/27/1922,30669,1,3.804600239
12/28/1922,30607,1,4.506499767
12/29/1922,30484,1,5.145999908
12/30/1922,30189,1,5.781900406
12/31/1922,29144,1,6.434700012
1/1/1923,28100,1,6.843799591
1/2/1923,27804,1,7.281499863
1/3/1923,27680,1,7.422100067
1/4/1923,27617,1,7.27820015
1/5/1923,27581,1,6.907500267
1/6/1923,27557,1,6.224500179
1/7/1923,27541,1,5.434899807
1/8/1923,27530,1,5.094099998
1/9/1923,27521,1,4.697799683
1/10/1923,27513,1,4.860699654
1/11/1923,27507,1,5.658400059
1/12/1923,27501,1,6.408800125
1/13/1923,27495,1,7.018599987
1/14/1923,27490,1,7.391200066
1/15/1923,27483,1,7.476399899
1/16/1923,27477,1,7.470299721
1/17/1923,27469,1,7.191900253
1/18/1923,27460,1,6.635100365
1/19/1923,27448,1,5.955600262
1/20/1923,27434,1,5.102900028
1/21/1923,27417,1,4.48239994
1/22/1923,27394,1,3.985199928
1/23/1923,27363,1,3.481600285
1/24/1923,27321,1,3.256800175
1/25/1923,27261,1,3.681099892
1/26/1923,27171,1,4.263799667
1/27/1923,27028,1,4.936399937
1/28/1923,26780,1,5.610999584
1/29/1923,26292,1,6.217899799
1/30/1923,25122,1,6.906899929
1/31/1923,20994,1,7.299900055
2/1/1923,17093,1,7.426499844
2/2/1923,16085,1,7.217000008
2/3/1923,15681,1,6.685400009
2/4/1923,15481,1,5.862100124
2/5/1923,15367,1,5.37650013
2/6/1923,15296,1,4.90170002
2/7/1923,15250,1,5.018700123
2/8/1923,15217,1,5.289399624
2/9/1923,15193,1,5.68900013
2/10/1923,15175,1,6.075700283
2/11/1923,15162,1,6.387700081
2/12/1923,15151,1,6.545800209
2/13/1923,15141,1,6.64070034
2/14/1923,15133,1,6.577199936
2/15/1923,15126,1,6.274400234
2/16/1923,15120,1,5.783099651
2/17/1923,15113,1,5.178100109
2/18/1923,15106,1,4.518400192
2/19/1923,15097,1,4.041699886
2/20/1923,15087,1,3.625799656
2/21/1923,15074,1,3.553700209
2/22/1923,15056,1,3.564399958
2/23/1923,15030,1,3.743400097
2/24/1923,14988,1,4.077899933
2/25/1923,14914,1,4.601500034
2/26/1923,14767,1,5.260900021
2/27/1923,14398,1,5.926199913
2/28/1923,12974,1,6.427999973
3/1/1923,11467,1,6.827500343
3/2/1923,11040,1,6.837999821
3/3/1923,10862,1,6.47510004
3/4/1923,10772,1,5.960700035
3/5/1923,10720,1,5.547500134
3/6/1923,10688,1,5.680199623
3/7/1923,10667,1,5.711599827
3/8/1923,10653,1,5.65350008
3/9/1923,10643,1,5.515199661
3/10/1923,10637,1,5.403800011
3/11/1923,10633,1,5.383999825
3/12/1923,10630,1,5.453699589
3/13/1923,10629,1,5.540899754
3/14/1923,10630,1,5.527500153
3/15/1923,10632,1,5.403400421
3/16/1923,10635,1,5.119299889
3/17/1923,10641,1,4.64040041
3/18/1923,10648,1,4.33769989
3/19/1923,10657,1,4.252299786
3/20/1923,10669,1,4.416500092
3/21/1923,10686,1,4.344600201
3/22/1923,10707,1,4.317800045
3/23/1923,10737,1,4.158200264
3/24/1923,10778,1,4.10160017
3/25/1923,10838,1,4.149199963
3/26/1923,10927,1,4.377500057
3/27/1923,11069,1,4.783900261
3/28/1923,11316,1,5.282599926
3/29/1923,11802,1,5.660599709
3/30/1923,12968,1,5.771199703
3/31/1923,17081,1,5.893199921
