,CVP_INTAKE_EC,MIDR_INTAKE_EC,OLDR_CCF_EC,ROLD024_EC,RSAC054_EC,RSAC081_EC,RSAC092_EC,RSAN007_EC,RSAN018_EC,SLMZU003_EC,SLMZU011_EC,VICT_INTAKE_EC
12/2/1921,5.979551315,4.45672369,8.225826263,5.927830696,22060.19336,2.344035864,0.38968724,0.353375286,1.153582811,201.2541962,6.27043438,10.63560009
12/3/1921,21.39866257,12.69552326,23.09536362,10.42524242,23138.38281,55.26780319,1.58955729,1.848226666,3.557989597,1208.472168,22.16631889,20.96386719
12/4/1921,306.1933289,19.77119637,115.4064789,13.63651657,22753.81445,172.8524017,5.257689953,8.584134102,6.16892004,2417.061035,68.08507538,29.6855011
12/5/1921,447.8180847,24.3453846,238.522644,17.22379875,22446.8125,335.1111145,11.89378452,28.13248634,9.16772747,3412.827881,170.5783081,37.80747604
12/6/1921,530.6929321,27.97425842,228.5552979,22.21109581,21734.13281,429.2142639,27.24995422,48.55820465,13.67804527,4019.67041,303.7755127,45.12883377
12/7/1921,569.8226318,31.62831688,181.6147461,29.3246994,21047.29102,480.8284607,58.93071365,62.71839523,21.9637394,4293.805664,444.5142517,51.35952759
12/8/1921,547.4142456,37.58759308,130.5331879,40.69823837,20779.2207,538.2064209,89.52770996,79.75567627,32.67041397,4527.26416,587.4295654,59.60784149
12/9/1921,530.4560547,43.62891769,155.2368469,55.88697052,21049.87109,676.2260742,108.1559372,113.8892136,42.0943985,4971.326172,798.1982422,66.8850708
12/10/1921,477.8292236,55.37812042,240.7097015,70.93212128,21473.0293,959.0114746,124.7749252,194.3829651,49.58795929,5766.632324,1129.36499,77.45366669
12/11/1921,513.1245728,86.79297638,270.9003906,84.04853058,21644.11914,1220.350464,144.6083069,305.5827026,58.51623535,6469.547363,1410.639282,94.33370972
12/12/1921,511.1374817,132.1413422,286.6830444,93.52883148,22163.95898,1539.810913,168.1541748,433.579834,72.56410217,7197.946777,1762.071289,136.1098022
12/13/1921,519.3798218,174.1861572,316.094635,100.2784653,22698.29883,2013.135986,202.3819885,636.2550049,94.71220398,8093.012695,2240.530029,177.2864838
12/14/1921,539.2456055,205.9691772,349.763916,106.004921,22772.33984,2503.478271,250.9186249,866.2670898,128.4658203,8866.913086,2759.889893,211.3914032
12/15/1921,567.6635132,233.8473969,384.9903259,111.7558289,22692.8418,2724.929199,276.1868286,986.0061646,156.429245,9492.499023,3157.741211,238.3454742
12/16/1921,587.9544678,254.8248138,403.7743225,118.0572205,22613.38086,2803.066406,294.8085327,1053.911743,182.3230133,9808.277344,3500.656006,261.1398621
12/17/1921,594.1826172,271.6523743,413.9159241,125.2741623,22670.9668,2982.118408,323.8341064,1168.300903,213.9407654,10236.44336,3949.832275,278.2999268
12/18/1921,589.2115479,284.6219788,421.6986389,133.4184723,22192.06055,3420.966309,367.814209,1390.51416,264.9599609,10794.57227,4485.305176,292.118866
12/19/1921,631.5845337,303.9401245,462.1484375,142.3742676,21671.53125,3168.06665,339.6144714,1344.336914,282.2393799,10769.61719,4754.966309,308.783783
12/20/1921,635.7171631,316.9689331,489.3058472,150.4654694,20747.42188,3121.067139,349.5675659,1364.420288,308.52771,10712.71484,5008.437012,324.267395
12/21/1921,674.6224976,329.5423889,512.9955444,158.7867737,20579.29883,2841.856689,333.6552734,1255.755249,317.9395142,10520.56641,5208.600098,341.132019
12/22/1921,624.0496216,338.6918945,499.0057678,167.6647339,20436.66016,2923.926025,352.4264526,1368.01709,354.762207,10546.82129,5528.394531,346.6586914
12/23/1921,640.4243774,344.4102173,501.6437073,177.3032379,20412.3125,2699.933838,328.4417725,1327.37439,366.8506775,10288.19727,5665.629883,362.7783508
12/24/1921,616.9248657,356.2122498,484.6916199,187.7136841,20539.44531,2701.843018,334.5407104,1355.581421,393.3308411,10268.34375,5830.967773,375.1583557
12/25/1921,570.2654419,368.5131531,411.5553284,198.8012695,22014.8418,4012.034424,565.4643555,1950.424438,561.4933472,11267.16992,6577.910156,376.3143921
12/26/1921,643.1220093,365.3420105,476.7578735,213.1112823,21384.71289,3910.783691,512.3141479,1983.215698,582.9396973,11484.34082,6796.398438,381.4780273
12/27/1921,654.2631226,384.3815308,508.4044189,229.5002289,21201.50781,3466.181641,444.3601074,1849.434204,558.59375,11291.24023,6825.355957,389.6149292
12/28/1921,683.4050903,398.6199036,516.586792,243.2832184,21637.91406,2952.795654,390.8310547,1559.182739,505.9581909,10997.86426,6830.093262,412.6841125
12/29/1921,668.1157227,396.6425171,504.2824097,254.230072,21531.80469,3003.382568,411.7367859,1541.368286,534.3306885,10915.17676,7000.795898,409.9420166
12/30/1921,673.7293701,402.381073,515.6578369,263.8655701,21359.18555,2925.071045,402.0738525,1483.116699,534.3825073,10850.55664,7081.635254,413.3385925
12/31/1921,667.7349243,412.7108459,528.2576294,273.2104187,21146.98633,2856.170166,398.9264526,1445.737915,550.4307251,10688.73438,7143.100098,419.7753296
1/1/1922,663.909668,424.3392334,534.7611694,281.1321716,20581.69336,2862.184326,400.796936,1418.658081,552.5743408,10698.32617,7266.137695,433.1788025
1/2/1922,704.7697144,431.3827209,606.7513428,289.177063,19872.1543,2375.879395,347.8124084,1255.930542,492.164917,10444.7168,7237.255859,457.1376343
1/3/1922,672.0458984,436.6991882,594.5315552,295.8044434,19102.03906,1891.600586,307.3096924,1071.584351,434.1588745,10046.50879,7170.064941,466.4715881
1/4/1922,591.6219482,442.3035583,499.6526184,301.2050171,18402.29102,1616.317383,282.7626038,931.2913208,403.0626831,9680.488281,7082.724121,463.1591187
1/5/1922,566.927063,448.5648499,474.3886414,305.2764893,18150.60352,1503.831177,272.8075256,871.1611328,395.2139587,9410.981445,7035.150879,462.3997803
1/6/1922,530.5901489,454.1916504,456.8276062,307.0875854,18285.85156,1825.658325,295.7297974,929.4957886,417.5448303,9425.302734,7115.717285,466.6661377
1/7/1922,537.6723633,458.8521729,477.6307983,308.1394348,18248.73828,1764.517334,291.0088806,939.4639893,415.6994324,9225.143555,7072.867188,470.031189
1/8/1922,538.0616455,462.1604309,480.9347534,309.4010925,18468.6875,1823.244873,296.7008667,955.3036499,421.0070801,9198.561523,7078.966309,483.110321
1/9/1922,530.1870117,472.3117065,482.5768127,311.7806091,18896.16211,2047.285767,328.5690613,1014.908508,441.583313,9290.90918,7139.695313,488.6810303
1/10/1922,544.6105957,478.8334656,492.0271301,314.6980591,19261.45117,2079.760742,339.0723877,1009.828186,434.0730286,9324.395508,7128.583008,501.270752
1/11/1922,549.6947021,481.1375732,499.7578735,317.816925,19479.24219,2260.225586,367.0950928,1054.492554,435.7362366,9426.277344,7167.302734,506.4454651
1/12/1922,555.3112793,484.0522461,504.9967957,321.3043213,19505.35938,2498.902588,402.3331299,1129.95166,438.5370789,9563.347656,7217.547852,507.6990356
1/13/1922,562.0908203,485.1446838,511.3246765,324.7538757,19348.69531,2714.824707,432.7047729,1204.286377,438.5392456,9727.381836,7280.271973,509.8256531
1/14/1922,563.7266846,484.974823,515.8235474,327.6269531,19027.46094,2989.854736,475.6100464,1328.531372,447.4075012,9883.867188,7384.053223,508.2237549
1/15/1922,572.1153564,484.0448914,529.8689575,330.0799561,18370.71289,2928.126953,455.7018433,1315.349243,438.9681702,9863.428711,7417.057129,511.2014465
1/16/1922,580.1694336,483.3502502,540.3657837,332.4580078,17814.1875,2677.724854,421.7965088,1211.499634,421.5402222,9754.585938,7413.452148,514.899353
1/17/1922,576.0764771,482.2007141,538.0692749,333.1133728,17129.23047,2611.012695,413.1531677,1186.799805,417.8852844,9623.607422,7437.947266,508.6030273
1/18/1922,593.0213013,483.9610901,555.5461426,334.5913086,16525.37695,2146.964844,342.1109924,1009.558533,387.8401184,9329.888672,7351.977539,512.2415161
1/19/1922,588.7619019,482.7177734,549.0792847,335.34375,16361.58496,1866.582031,311.0071716,892.357666,369.6508484,9021.509766,7284.679688,509.1568298
1/20/1922,565.0030518,480.1572571,522.8746948,334.2489014,16380.19629,1944.599243,324.6653748,911.0784912,373.8135071,8876.001953,7309.529785,502.6743469
1/21/1922,555.0119629,478.9170532,506.3257446,331.8453369,16608.3125,1979.208252,327.0610046,943.291626,380.0037537,8805.269531,7318.407715,503.4136353
